LotArea,BedroomAbvGr,SalePrice
7820,2,318061
5271,2,190000
9084,3,95000
8520,2,105900
8400,2,140000
11249,3,177500
9248,3,173000
4224,3,134000
6930,3,130000
12011,3,280000
7540,2,156000
9144,3,145000
7301,4,198500
1680,2,118000
18800,3,190000
10690,3,147000
9500,3,159000
9150,3,165000
7800,2,132000
9830,3,162000
8121,3,172400
17120,4,134432
7175,2,125000
10634,3,123000
8200,4,219500
10020,1,61000
8846,2,148000
11143,4,340000
11394,1,394432
8123,3,179000
5000,3,127000
7200,2,187750
9245,3,213500
9000,2,76000
53107,3,240000
3182,2,192000
8410,5,81000
7200,3,125000
9382,3,191000
12474,3,426000
8405,4,119000
12209,3,215000
8339,3,106500
7446,2,100000
10134,2,109000
9571,3,129000
7200,2,123000
7590,4,169500
8967,2,67000
8125,2,241000
14963,1,245500
8767,3,164990
10200,2,108000
12090,4,258000
10364,3,168000
9991,3,150000
10480,3,115000
15576,4,177000
14154,3,280000
10800,3,339750
9571,3,60000
34650,3,145000
4403,2,222000
8960,2,115000
11228,3,228000
8899,3,181134
7844,3,149500
22420,4,239000
8160,3,126000
8450,3,142000
7060,2,206300
16635,3,215000
21750,2,113000
9200,4,315000
9000,2,139000
3378,3,135000
12800,2,275000
8593,3,109008
6762,2,195400
11457,3,175000
1680,2,85400
5586,4,79900
1920,2,122500
10839,3,181000
1890,1,81000
10667,3,212000
4400,2,116000
6000,2,119000
4280,2,90350
12354,3,110000
15431,2,555000
12108,4,118000
6240,3,162900
3922,2,172500
8750,4,210000
9855,3,127500
16492,2,190000
11214,4,199900
8600,3,119500
6000,2,120000
5684,2,110000
70761,2,280000
9303,3,204000
9000,3,210000
9297,4,188000
9600,3,175500
4571,4,98000
53227,2,256000
5100,3,161000
7015,3,110000
8004,3,263435
7200,3,155000
8281,3,62383
11988,3,188700
8430,3,124000
3072,2,178740
10628,2,167000
9480,3,146500
11428,3,250000
9291,3,187000
6820,1,212000
11952,3,190000
3675,2,148000
14977,2,440000
5330,2,251000
8480,2,132500
13125,3,208900
13693,3,380000
10637,3,297000
5925,2,89471
16033,3,326000
11846,2,374000
2500,4,155000
4500,2,164000
7758,3,132500
9600,3,147000
10289,3,156000
12243,3,175000
10800,3,160000
1526,1,86000
2665,3,115000
9490,3,133000
15578,3,172785
7931,3,155000
5784,2,91300
7879,2,34900
12692,4,430000
9120,4,184000
7800,3,130000
7535,2,120000
1890,3,113000
9803,3,226700
9170,2,140000
15602,1,289000
2308,3,147000
7596,4,124500
9554,3,215000
7862,2,208300
9600,3,161000
9600,3,124500
14559,2,164900
6792,2,202665
9100,3,129900
9187,3,134000
10594,2,96500
12220,3,402861
10448,3,158000
10208,3,265000
9531,3,211000
10918,3,234000
10800,3,106250
11988,3,150000
5000,3,159000
40094,3,184750
11787,3,315750
7500,3,176000
13300,2,132000
14948,3,446261
9098,2,86000
32668,4,200624
10200,3,175000
6155,3,128000
7200,2,107500
5000,1,39300
9056,3,178000
7000,3,107500
8924,3,188000
12735,3,111250
11553,3,158000
11423,3,272000
14601,2,315000
11000,4,248000
10140,3,213250
4058,1,133000
17104,3,179665
13837,4,229000
8737,3,210000
7244,2,129500
8235,2,125000
9375,4,263000
4043,2,140000
6000,3,112500
11146,3,255500
8777,2,108000
10625,3,284000
6380,2,113000
14850,2,141000
11040,3,108000
21872,3,175000
3196,2,234000
11341,3,121500
10010,2,170000
13907,3,108000
21780,4,185000
13346,4,268000
6858,4,128000
11198,4,325000
10171,3,214000
12327,1,316600
7032,2,135960
13101,6,142600
7332,2,120000
13159,3,224500
9967,3,170000
10500,3,139000
8480,2,118500
6292,3,145000
11777,3,164500
3604,2,146000
12150,4,131500
14585,3,181900
12704,3,253293
11841,3,118500
13500,3,325000
6120,3,133000
11443,2,369900
10267,2,130000
8740,2,137000
25095,1,143000
9100,2,79500
8320,3,185900
13478,3,451950
6600,2,138000
4435,1,140000
7990,3,110000
11302,3,319000
3600,3,114504
3922,2,194201
12984,3,217500
1950,3,151000
10927,3,275000
9000,3,141000
10041,3,220000
3182,2,151000
12803,3,221000
13600,3,205000
12464,3,152000
7800,3,225000
12168,4,359100
7943,3,118500
11050,3,313000
10395,3,148000
11885,3,261500
8402,3,147000
1491,1,75500
8800,3,137500
7861,3,183200
7227,2,105500
11694,3,314813
12244,4,305000
8248,2,67000
10800,4,240000
7064,3,135000
2117,2,168500
10400,4,165150
10000,3,160000
12342,3,139900
9600,3,153000
11606,5,135000
9020,3,168500
9000,3,124000
4590,2,209500
11900,3,82500
9250,3,139400
10896,8,200000
6120,1,60000
6000,3,93000
8777,2,85000
3982,1,264561
12677,1,274000
7050,3,226000
13860,4,345000
10793,4,152000
9187,2,370878
10530,3,143250
7200,3,98300
10452,3,155000
7700,4,155000
1936,1,84500
8125,3,205950
9084,4,108000
8750,2,191000
10320,3,135000
10437,2,350000
1680,3,88000
10007,3,145500
7200,3,149000
17503,3,97500
9937,3,167000
12384,3,197900
46589,4,402000
13560,2,110000
10012,3,137500
20896,1,423000
11194,3,230500
18450,3,129000
8125,3,193500
14175,3,168000
11600,2,137500
8633,3,173500
6629,3,103600
11250,3,165000
14442,3,257500
9200,3,140000
2289,3,148500
9600,4,87000
9022,2,109500
11844,3,372500
9945,3,128500
8012,2,143000
4500,3,159434
2887,2,173000
11248,3,285000
16770,4,221000
5062,3,207500
10207,3,227875
5105,2,148800
8089,2,392000
7577,2,194700
4426,1,141000
26178,4,335000
5400,2,108480
6120,3,141500
13811,2,176000
6000,2,89000
6420,2,123500
8450,3,138500
4282,2,196000
14331,3,312500
9600,3,140000
12438,4,361919
7630,4,140000
8400,3,213000
5600,3,55000
115149,2,302000
6240,2,254000
9018,3,179540
7162,3,109900
4130,2,52000
8712,2,102776
4671,2,189000
9873,3,129000
13517,3,130500
10140,3,165000
10800,3,159500
10000,3,157000
10542,3,341000
9920,3,128500
6563,2,275000
4426,1,143000
8120,3,124500
8172,4,135000
13286,3,320000
6960,3,120500
21695,3,222000
7314,2,194500
11475,4,110000
6240,2,103000
5389,2,236500
9590,3,187500
11404,3,222500
10000,3,131400
8978,3,108000
10800,2,163000
8544,2,93500
10463,3,239900
10800,3,179000
9313,3,190000
9600,2,132000
6768,3,142000
8450,3,179000
12886,3,175000
5395,2,180000
8963,4,299800
8795,4,236000
11700,4,265979
10593,3,260400
8405,4,98000
8800,3,96500
7750,3,162000
9236,3,217000
10240,3,275500
7930,3,156000
3230,3,172500
10769,3,212000
11616,3,158900
2280,3,179400
12257,4,290000
9100,2,127500
6911,2,100000
8640,3,215200
9430,3,337000
9549,2,270000
14587,2,264132
10421,3,196500
12508,4,160000
9100,3,216837
53504,4,538000
7252,2,134900
8877,2,102000
7819,3,107000
10150,2,114500
14226,3,395000
4500,2,162000
11210,3,221500
13350,3,142500
8400,4,144000
10530,2,135000
7875,3,176000
7153,3,175900
16285,3,187100
9101,1,165500
6300,3,128000
9790,3,161500
10800,4,139000
10142,4,233000
6000,2,107900
12205,5,187500
3182,2,160200
11333,3,146800
9920,3,269790
9158,3,225000
10832,3,194500
8400,3,171000
8197,3,143500
7677,2,110000
13518,4,485000
7200,3,175000
12798,4,200000
4800,2,109900
8199,3,189000
13891,4,582933
9000,2,118000
12274,3,227680
9750,3,135500
21384,3,223500
13400,3,159950
8100,2,106000
10140,3,181000
4438,1,144500
8712,2,55993
9750,4,157900
8248,3,116000
12137,3,224900
11425,2,137000
13265,3,271000
8816,3,155000
6371,2,224000
7226,3,183000
6000,2,93000
12394,3,225000
9900,3,139500
11216,3,232600
14803,2,385000
6130,2,109500
8529,3,189000
28698,3,185000
2544,2,147400
11900,3,166000
3180,2,151000
9548,3,237000
10004,3,167000
7875,3,139950
9600,2,128000
8100,2,153500
1680,2,100000
9525,3,144000
11767,3,130500
12155,4,140000
10440,3,157500
9020,3,174900
8000,6,141000
12665,4,153900
16647,3,171000
9317,3,213000
15523,3,133500
45600,5,240000
9600,3,187000
4435,1,131500
3196,2,215000
7128,4,164000
12095,3,158000
17920,3,170000
6897,3,127000
10970,3,147000
8125,3,174000
10400,3,152000
11029,4,250000
7642,3,189950
11625,3,131500
9672,3,152000
7931,3,132500
8640,3,250580
8750,3,148500
10656,3,248900
6970,3,129000
14762,2,169000
9938,3,236000
6600,2,109500
8750,3,200500
8892,3,116000
12144,3,133000
5720,3,66500
9000,4,303477
25286,3,132250
8834,4,350000
11782,3,148000
7000,3,136500
7024,2,157000
13758,3,187500
9636,3,178000
6204,5,118500
7150,3,100000
5119,2,328900
8393,4,145000
16466,3,135500
15865,4,268000
12160,2,149500
8064,3,122900
11184,3,172500
8414,3,154500
13284,3,165000
7018,4,118858
7056,4,140000
8765,2,106500
7018,6,142953
12919,2,611657
6993,3,135000
7340,2,110000
8712,2,153000
7875,3,180000
14859,3,240000
6173,3,125500
9920,3,128000
13501,3,255000
11500,3,250000
8885,2,131000
12589,3,174000
11600,5,154300
9286,3,143500
6120,3,88000
6270,4,145000
3000,2,173733
2001,3,75000
9000,1,35311
17140,3,135000
13125,4,238000
11029,3,176500
8462,3,201000
8777,4,145900
10237,3,169990
8012,2,193000
10240,3,207500
15611,3,175000
11999,4,285000
9900,4,176000
11838,3,236500
13006,4,222000
8925,3,201000
9100,2,117500
11670,3,320000
8487,3,190000
27650,4,242000
5825,1,79900
10083,2,184900
9675,3,253000
8760,3,239799
24090,4,244400
12640,4,150900
8755,3,214000
7711,4,150000
25000,4,143000
14375,3,137500
8820,2,124900
8163,3,143000
14536,3,270000
14006,3,192500
9360,3,197500
7200,3,129000
7800,3,119900
7200,2,133900
11075,4,172000
9400,4,127500
7136,4,145000
1300,2,124000
7420,3,132000
8450,3,185000
2572,3,155000
7207,2,116500
12227,4,272000
2308,3,155000
11923,2,239000
11316,4,214900
10237,3,178900
9600,2,160000
7390,3,135000
5925,2,37900
10382,2,140000
10800,4,135000
2268,2,173000
7892,2,99500
11639,3,182000
11414,3,167500
2651,3,165000
5900,2,85500
4274,1,199900
9450,3,110000
8816,3,139000
12122,3,178400
12203,4,336000
3182,2,159895
11250,4,255900
10125,4,126000
10880,3,125000
5310,2,117000
10159,3,395192
12046,4,195000
8125,3,197000
9452,3,348000
17671,4,168000
9760,3,187000
8846,3,173900
12456,3,337500
4712,3,121600
10659,3,136500
11717,2,185000
9786,3,91000
6762,2,206000
10206,2,82000
5400,2,86000
11957,3,232000
11500,4,136905
3182,1,181000
8385,3,149900
12155,3,163500
2217,3,88000
12118,3,240000
6000,4,102000
21286,4,135000
9825,4,100000
10592,3,165000
7200,2,85000
11664,2,119200
8400,3,227000
11883,3,203000
5814,1,187500
10784,3,160000
3013,2,213490
7024,2,176000
7406,2,194000
9439,2,87000
3182,2,191000
15498,2,287000
7700,3,112500
9300,3,167500
9520,3,293077
9492,3,105000
1680,3,118000
7082,5,160000
15863,5,197000
14541,5,310000
8125,3,230000
6305,2,119750
11500,3,84000
12898,2,315500
9240,3,287000
1533,3,97000
1477,1,80000
13125,3,155000
9130,4,173000
5381,1,196000
11839,4,262280
9600,4,278000
13680,4,139600
16056,4,556581
9245,3,145000
21750,3,115000
11100,2,84900
8993,3,176485
11175,3,200141
9500,4,165000
8562,4,144500
11367,3,255000
11361,3,180000
7052,2,185850
29959,3,248000
11308,3,335000
11275,3,220000
4920,2,213500
18000,2,81000
13600,5,90000
6000,2,110500
11000,3,154000
14000,3,328000
7837,3,178000
9760,4,167900
3964,5,151400
9600,2,135000
10152,3,135000
11700,4,154000
7585,4,91500
7950,3,159500
8556,2,194000
13125,3,219500
10800,3,170000
15870,3,138800
4435,1,155900
8775,3,126000
11040,3,145000
7500,3,133000
8749,3,192000
8800,3,160000
13031,3,187500
9069,2,147000
1974,3,83500
10574,3,252000
2522,3,137500
3316,1,197000
8544,2,92900
2160,2,160000
8400,4,136500
9230,1,146000
5868,2,129000
9317,3,176432
6882,3,127000
3696,2,170000
6000,3,128000
11880,3,157000
8400,1,60000
9758,3,119500
7000,2,135000
8910,3,159500
2016,3,106000
12256,3,325000
10357,3,179900
23257,3,274725
8063,3,181000
11362,3,280000
8000,3,188000
10480,4,205000
7100,2,129900
8923,2,134500
5400,2,117000
12085,3,318000
7750,3,184100
9764,3,130000
13825,3,140000
7560,3,133700
8263,2,118400
10084,3,212900
8926,3,112000
9405,2,118000
9125,3,163900
10434,2,115000
3684,2,174000
14572,3,259000
11796,4,215000
7200,2,140000
7804,4,135000
10712,3,93500
9900,5,117500
9828,3,239500
8773,3,169000
6180,2,102000
9600,3,119000
6342,2,94000
9819,2,196000
8731,3,144000
7350,2,139000
10304,4,197500
9965,4,424870
9000,3,80000
12180,2,80000
6240,3,149000
11200,3,180000
12000,3,174500
5700,2,116900
9000,3,143000
8280,2,124000
17755,3,149900
14115,2,230000
5890,2,120500
13700,4,201800
10768,3,218000
9350,3,179900
5001,2,230000
11932,3,235128
9120,4,185000
2280,3,146000
14778,3,224000
8724,3,129000
16157,2,194000
9541,3,233170
10475,3,245350
10852,3,173000
13728,4,235000
35760,4,625000
9880,3,171000
9120,3,163000
4017,2,171900
18030,3,200500
16560,4,239000
10678,4,285000
6951,3,119500
3950,3,115000
7681,3,154900
8335,3,93000
11170,4,250000
5587,2,392500
10800,2,120000
35133,3,186700
9738,4,104900
10615,3,95000
12461,2,262000
8935,3,195000
7500,3,189000
32463,3,168000
2645,2,174000
9600,3,125000
4500,2,165000
9364,4,158000
8029,3,176000
14054,4,219210
8850,3,144000
9100,3,178000
11235,3,148000
9353,3,116050
10400,3,197900
6000,3,117000
9750,3,213000
10140,3,153500
14684,3,271900
8900,2,107000
9135,3,200000
7763,3,140000
10182,3,290000
11218,3,189000
12134,4,164000
9340,2,113000
10205,3,134500
7094,3,125000
8930,4,112000
8640,3,229456
6240,2,80500
1680,3,91500
7800,2,115000
8250,3,134000
10496,3,143000
10680,4,137900
15384,3,184000
10482,3,145000
14598,4,214000
8872,2,147000
8769,1,367294
7910,4,127000
18890,4,190000
7728,3,132500
9842,2,101800
12160,3,142000
8525,4,130000
13132,4,138887
2628,2,175500
12393,4,195000
13072,3,142500
9037,2,265900
8158,3,224900
9849,3,248328
10625,3,170000
13891,2,465000
11435,3,230000
12090,3,178000
8125,3,186500
12328,3,169900
9600,3,129500
7200,3,119000
11160,3,244000
3136,2,171750
9858,3,130000
17542,3,294000
6931,3,165400
6240,3,127500
14303,2,301500
4060,2,99900
9587,2,190000
9750,3,151000
24682,3,181000
9600,2,128900
11250,5,161500
13515,3,180500
4060,2,181000
3735,3,183900
10120,4,122000
13214,3,378500
14100,4,381000
11344,3,144000
9156,3,185750
13526,3,137000
11512,2,177000
5362,3,139000
11345,4,137000
12936,3,162000
17871,3,197900
9473,3,237000
7500,2,68400
9808,3,227000
8049,2,180000
8800,3,150500
9400,4,139000
9638,4,169000
6000,4,132500
9790,3,143000
36500,4,190000
5664,2,278000
11065,3,281000
14112,3,180500
1680,3,119500
6600,4,107500
10140,4,162900
8172,2,115000
8400,3,138500
8700,3,155000
3675,2,140000
63887,3,160000
7500,3,154000
10762,3,225000
7500,3,177500
10120,4,290000
8688,3,232000
3363,3,130000
13173,2,325000
6955,2,202500
8072,3,138000
12000,2,147000
7153,3,179200
17500,3,335000
8814,3,203000
9572,4,302000
14774,4,333168
8190,3,119000
11075,4,206900
10226,3,295493
4230,2,208900
14781,3,275000
10215,3,111000
8400,3,156500
6627,2,72500
10186,3,190000
5330,2,82500
9986,2,147000
3636,2,55000
4270,3,79000
6600,3,130500
10440,5,256000
9084,3,176500
10000,3,227000
10780,3,132500
8877,2,100000
7200,2,125500
2368,3,125000
9650,2,167900
9246,4,135000
4118,2,52500
13450,3,200000
9560,3,128500
8294,3,123000
13695,3,155000
9375,3,228500
7558,3,177000
11103,3,155835
6000,2,108500
20781,3,262500
15306,3,283463
16196,3,215000
5250,4,122000
11643,6,200000
9247,4,171000
6000,2,134900
14720,4,410000
10316,3,235000
10192,4,170000
9477,3,110000
12537,3,149900
2117,3,177500
16737,3,315000
9842,4,189000
16158,3,260000
12513,4,104900
8499,3,156932
3180,2,144152
7500,3,216000
9179,3,193000
2665,4,127000
4435,1,144000
10635,3,232000
5400,2,105000
9600,3,165500
9750,3,274300
11400,2,466500
10625,3,250000
10991,3,239000
6292,2,91000
10998,3,117000
1953,2,83000
9735,3,167500
8212,2,58500
12925,4,237500
7200,4,157000
25339,3,112000
9060,2,105000
5436,3,125500
16692,5,250000
8520,5,136000
14892,3,377500
6000,3,131000
9100,3,235000
8944,4,124000
7838,3,123000
10800,3,163000
4045,2,246578
12665,4,281213
57200,3,160000
6120,4,137500
7200,3,138000
6171,3,137450
6000,3,120000
7415,3,193000
6762,2,193879
15256,3,282922
10410,3,105000
3842,2,275000
8445,2,133000
8780,3,112000
7740,3,125500
20544,3,215000
12420,3,230000
9600,3,140000
7200,2,90000
10994,2,257000
13053,4,207000
3635,1,175900
11340,4,122500
16545,3,340000
9204,3,124000
16381,3,223000
11700,3,179900
4043,2,127500
4435,1,136500
19690,4,274970
9503,2,144000
10721,3,142000
10944,3,271000
10930,3,140000
7200,2,119000
12546,3,182900
21930,4,192140
4928,2,143750
10800,4,64500
10261,3,186500
17400,3,160000
8400,3,174000
9000,3,120500
12444,2,394617
7407,2,149700
11584,3,197000
11526,3,191000
4426,1,149300
11003,3,310000
8854,2,121000
8500,3,179600
8400,3,129000
26142,3,157900
10000,3,240000
11767,2,112000
1533,1,92000
9000,4,136000
9262,3,287090
3675,2,145000
17217,3,84500
7500,2,185000
7917,3,175000
13175,3,210000
9042,4,266500
9717,2,142125
9937,3,147500
